,gap_capital injection,gap_crowdfunding,gap_preferred stock,gap_recapitalization,gap_venture capital,gap_virtual data room,score_capital injection,score_crowdfunding,score_preferred stock,score_recapitalization,score_venture capital,score_virtual data room,rating_capital injection,rating_crowdfunding,rating_preferred stock,rating_recapitalization,rating_venture capital,rating_virtual data room,label
well.co,6.0,6.0,1.5666666666666667,0.5666666666666667,0.5666666666666667,1.0666666666666667,70.0,70.0,85.0,71.0,77.5,74.5999984741211,1.0,1.0,4.0,1.0,2.25,1.1,1.0
wellinks.com,0.1,1.1333333333333333,6.0,2.8333333333333335,6.0,6.0,72.0,75.0,70.0,74.66666412353516,70.0,70.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
wellspire.net,2.4288781618148936,3.4980994425277516,1.74327969016396,1.438267608314946,3.4298110154234362,2.6032015607321686,82.64583587646484,75.72222137451172,80.86666870117188,80.66666412353516,88.91666412353516,93.16666412353516,3.0625,1.6666666666666667,2.8000000000000003,1.9166666666666667,4.75,4.083333333333334,0.0
westerman.com,2.423212345746461,2.8613357524808793,2.6509691908756916,2.4617915407928463,2.8534233735343624,2.5445507826768745,80.336669921875,89.14666748046875,84.46190643310547,87.37332916259766,82.55999755859375,88.45333099365234,2.3833333333333337,4.7,3.3095238095238093,3.13,3.333333333333333,3.7266666666666666,0.0
westrockcoffee.com,1.3333333333333333,6.0,0.8333333333333333,0.8333333333333333,1.3333333333333333,6.0,75.0,70.0,87.33332824707031,72.16667175292969,71.0,70.0,1.0,1.0,3.75,1.0,1.0,1.0,1.0
wheelhouseit.com,2.8110027418062318,2.7795248213423056,2.3242069894236725,1.4811161112797624,2.445447574900321,2.8108971921487145,84.7933349609375,82.44667053222656,78.41666412353516,78.53333282470703,84.07142639160156,85.509521484375,3.1,3.0633333333333335,2.125,1.8833333333333335,3.7785714285714285,3.064285714285714,0.0
whimsical.com,6.0,6.0,2.066666666666667,6.0,6.0,6.0,70.0,70.0,72.0,70.0,70.0,70.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
whitecupsolutions.com,2.712818293372991,3.5566582125166426,4.664883630553391,3.7613024236935693,3.4086846144439367,2.555675110545794,77.5,74.05555725097656,71.0,71.5,73.375,71.5,2.0,1.2777777777777777,1.0,1.0,1.5,1.0,0.0
wildcatdiscovery.com,1.8666666666666667,1.3555555555555554,1.3555555555555554,1.3555555555555554,1.3555555555555554,1.8666666666666667,87.5,85.66666412353516,70.33333587646484,78.0,84.66666412353516,87.5,4.0,3.6666666666666665,1.0,2.0,4.0,4.0,1.0
wimgonline.com,1.620446380352728,2.3977515246808707,2.7292482372866465,1.5905194169759678,1.794053214886719,1.6293042258603867,84.80555725097656,79.81666564941406,85.68333435058594,79.16666412353516,84.16666412353516,83.58333587646484,3.388888888888889,2.466666666666667,3.4,1.8333333333333333,3.638888888888889,2.9444444444444446,0.0
wint.ai,6.0,6.0,1.4,6.0,6.0,6.0,70.0,70.0,74.0,70.0,70.0,70.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
wireflyit.com,6.0,0.7675712355716663,0.6387626620255178,1.354823448003808,6.0,0.7885635339920642,70.0,77.0,73.5,78.25,70.0,89.0,1.0,2.0,1.5,1.75,1.0,4.0,0.0
wise-sync.com,2.72956904674915,2.6936951534217632,2.6690458860512662,2.454093490439832,2.6085937809931563,2.5993059853348885,89.61666870117188,86.56666564941406,84.43333435058594,93.3499984741211,81.71666717529297,89.33333587646484,4.1,3.9333333333333327,3.233333333333333,4.0,3.3333333333333335,3.85,0.0
woflow.com,1.8555555555555554,1.8555555555555554,1.8555555555555554,1.8555555555555554,1.8555555555555554,1.8555555555555554,82.46666717529297,83.27777862548828,77.03888702392578,82.6500015258789,84.85555267333984,89.38333129882812,2.8055555555555554,3.2777777777777772,1.9333333333333333,2.722222222222222,3.75,3.8166666666666664,1.0
wordstream.com,1.956089673712835,2.424091029810309,2.8173971896963597,1.743079367499934,2.8691749887766447,2.425483475399508,80.1500015258789,88.75666809082031,79.5633316040039,84.5,85.0433349609375,84.59333038330078,2.5,4.016666666666667,2.34,2.5,3.8833333333333337,2.9833333333333334,0.0
workstep.com,2.4733333333333336,2.4733333333333336,0.43333333333333335,2.4733333333333336,2.4733333333333336,2.4733333333333336,76.4000015258789,77.04000091552734,71.25,81.43000030517578,83.07666778564453,82.10333251953125,1.8,2.3666666666666667,1.0,2.62,3.5100000000000002,2.7800000000000002,1.0
wrapbook.com,3.4,3.916666666666667,3.4,3.4,3.916666666666667,3.916666666666667,90.0,98.0,77.33333587646484,97.0,100.0,100.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0
wrarisk.com,2.9126133191507386,6.0,6.0,2.6815315898909113,3.283054980967068,3.1391015998453344,79.60416412353516,70.0,70.0,81.1500015258789,83.64583587646484,77.10416412353516,2.4166666666666665,1.0,1.0,2.2,3.708333333333333,2.0833333333333335,0.0
wybtrak.com,2.361734925148176,2.4809311575244664,2.942059210090825,4.077013347159051,2.7730483339438483,2.796571936269668,91.08333587646484,80.0,80.125,76.83332824707031,83.78333282470703,91.63333129882812,4.0,2.75,2.5625,1.75,3.62,4.0,0.0
wylieeng.com,1.399695789149059,2.492850988332716,2.855451246320147,2.4700395282623444,2.4718185103191197,1.7368104974715584,78.53333282470703,78.97000122070312,82.05332946777344,82.1500015258789,78.48999786376953,80.16666412353516,2.1666666666666665,2.5,2.8766666666666665,2.56,2.5633333333333335,2.3333333333333335,0.0
